HUspb-111-StripPacking-20-0,11-27-25,,HUspb,StripPacking,,20,0,,1,1,1,3600.0720809999998,,79.00000000000000,48.00000000000000,0.39240500000000000,10,28024.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
HUspb-010-StripPacking-25-0,11-27-25,,HUspb,StripPacking,,25,0,,0,1,0,3600.067842000000,,71.0,34.0,0.5211270000000000,10,365812.0
HUspb-111-StripPacking-25-0,11-27-25,,HUspb,StripPacking,,25,0,,1,1,1,3600.0648950000000,,71.00000000000000,34.0,0.5211270000000000,10,29419.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
HUspb-010-StripPacking-35-0,11-27-25,,HUspb,StripPacking,,35,0,,0,1,0,3600.163729000000,,98.0,48.0,0.5102040000000000,10,99891.0
HUspb-111-StripPacking-35-0,11-27-25,,HUspb,StripPacking,,35,0,,1,1,1,3600.1494499999999,,99.00000000000000,48.0,0.5151520000000001,10,6718.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
HUspb-010-StripPacking-50-0,11-27-25,,HUspb,StripPacking,,50,0,,0,1,0,3600.1808090000000,,191.6,35.0,0.8173280000000001,1,2257.0
HUspb-111-StripPacking-50-0,11-27-25,,HUspb,StripPacking,,50,0,,1,1,1,3600.4579560000002,,171.0,40.0,0.7660820000000000,10,1.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SBspbL-010-StripPacking-10-0,12-09-25,,SBspbL,StripPacking,,10,0,,0,1,0,0.5737570000000000,,39.000000000000000,39.000000000000000,0.0,7,11622.0
SBspbL-111-StripPacking-10-0,12-09-25,,SBspbL,StripPacking,,10,0,,1,1,1,2.684091000000000,,39.0,39.0,0.0,6,7737.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SBspbL-010-StripPacking-15-0,12-09-25,,SBspbL,StripPacking,,15,0,,0,1,0,54.300108999999999,,45.0,45.0,0.0,10,316234.0
SBspbL-111-StripPacking-15-0,12-09-25,,SBspbL,StripPacking,,15,0,,1,1,1,154.61849900000001,,45.0,45.0,0.0,10,37329.0
