1/1 feasible solution given by solution candidate storage, new primal bound 9.790000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 951 variables (600 bin, 0 int, 351 cont) and 5425 constraints
   5425 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 24.9s|  4300 |  3245 |426379 |  98.9 |    24M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 26.1s|  4400 |  3337 |452322 | 102.6 |    24M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 26.7s|  4500 |  3431 |464347 | 103.0 |    24M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 26.9s|  4600 |  3521 |465561 | 101.0 |    25M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 27.1s|  4700 |  3613 |466967 |  99.2 |    25M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 27.4s|  4800 |  3701 |468762 |  97.5 |    25M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 27.6s|  4900 |  3783 |471549 |  96.0 |    25M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 27.8s|  5000 |  3869 |473092 |  94.4 |    25M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 28.0s|  5100 |  3963 |473796 |  92.7 |    25M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 28.2s|  5200 |  4057 |475889 |  91.3 |    25M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 28.5s|  5300 |  4149 |478914 |  90.2 |    25M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 29.1s|  5400 |  4245 |489206 |  90.4 |    26M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 29.9s|  5500 |  4333 |504520 |  91.6 |    26M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 30.1s|  5600 |  4423 |506638 |  90.3 |    26M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 30.3s|  5700 |  4519 |507872 |  88.9 |    27M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 30.5s|  5800 |  4615 |509187 |  87.6 |    27M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 30.7s|  5900 |  4701 |511293 |  86.5 |    27M | 242 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
